"Ano base","UF","Classe Substância","Substância Mineral","Quantidade Produção - Minério ROM (t)","Quantidade Contido","Unidade de Medida - Contido","Indicação Contido","Quantidade Venda (t)","Valor Venda (R$)","Quantidade Transformação / Consumo / Utilização (t)","Valor Transformação / Consumo / Utilização nesta mina (R$)","Quantidade Transferência para Transformação / Utilização / Consumo (t)","Valor Transferência para Transformação / Utilização / Consumo (R$)"
"2010","GO","Não-Metálicos","Amianto","4870538,690000","351034,900000000000000","t","","0","0",",000000",",000000",",000000",",000000"
"2010","GO","Não-Metálicos","Argilas","1009348,170000",",000000000000000","-","","630875,63","1709014,6299999999","6150,000000","76249,960000","406637,280000","1396851,220000"
"2010","GO","Metálicos","Titânio","59000,000000","7000,000000000000000","t","TiO2","0","0",",000000",",000000",",000000",",000000"
"2010","GO","Metálicos","Cobalto","3792814,130000","3062,340000000000000","t","Co","0","0",",000000",",000000",",000000",",000000"
"2010","GO","Não-Metálicos","Talco e outras Cargas Minerais","25707,220000",",000000000000000","-","","25707,220000000001","66024,369999999995",",000000",",000000",",000000",",000000"
"2010","GO","Não-Metálicos","Vermiculita e Perlita","172854,650000","39925,640000000000000","t","","0","0","41045,640000","1567118,000000","5998,690000","242415,400000"
"2010","GO","Não-Metálicos","Saibro","876,000000",",000000000000000","-","","876","5444",",000000",",000000",",000000",",000000"
"2010","GO","Não-Metálicos","Areias Industriais","7018,000000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","MA","Energéticos","Turfa",",000000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","MA","Não-Metálicos","Calcário","779055,320000",",000000000000000","-","","111390","2735719,4899999998",",000000",",000000",",000000",",000000"
"2010","MA","Metálicos","Ferro","113118,440000","55428,030000000000000","t","Fe","113118,44","5737164,0499999998",",000000",",000000",",000000",",000000"
"2010","MA","Metálicos","Ouro","1453761,790000","1651,135300000000000","kg","Au","0","0",",000000",",000000",",000000",",000000"
"2010","MA","Não-Metálicos","Rochas (Britadas) e Cascalho","1947367,900000",",000000000000000","-","","287638,41000000003","742134,19999999995",",000000",",000000",",000000",",000000"
"2010","MA","Não-Metálicos","Areia","1200402,250000",",000000000000000","-","","1188853,8300000001","14113812,079999998",",000000",",000000",",000000",",000000"
"2010","MA","Não-Metálicos","Argilas","583588,200000",",000000000000000","-","","61892,660000000003","274707,95999999996","121285,490000","795921,880000","373786,630000","1938760,690000"
"2010","MA","Não-Metálicos","Caulim","109109,000000",",000000000000000","-","","109109","937114,56000000006",",000000",",000000",",000000",",000000"
"2010","MA","Não-Metálicos","Saibro","3750,000000",",000000000000000","-","","3750","2250",",000000",",000000",",000000",",000000"
"2010","MA","Não-Metálicos","Gipsita","195556,440000",",000000000000000","-","","187853,44","2428769,1500000004",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Nióbio","5619362,000000","140484,050000000000000","t","Nb2O5","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Gemas e Diamantes","Diamante","227199,100000","10760,410000000000000","ct","","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Zinco","2311951,000000","224897,160000000000000","t","Zn","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Titânio","6364875,000000","955113,140000000000000","t","TiO2","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Geodos, Ágatas, Calcedônia, etc",",000000",",000000000000000","t","","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Calcário","40886694,090300",",000000000000000","-","","1405801,03","7189101,1200000001","28588,070000","841710,130000","127832,730000","676473,190000"
"2010","MG","Não-Metálicos","Areias Industriais","932636,070000",",000000000000000","-","","118535,94000000002","11694247,310000001",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Níquel","440537,290000","13428,390000000000000","t"," Ni","6000","60000",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Argilas","2373131,190000",",000000000000000","-","","398578,76000000001","5906095,5600000005","152865,720000","845273,470000","789779,530000","8361984,900000"
"2010","MG","Não-Metálicos","Dolomito e Magnesita","341,800000",",000000000000000","-","","391,10000000000002","9305,7900000000009",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Cobalto","382969,290000","76,590000000000000","t","Co","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Saibro","123504,830000",",000000000000000","-","","122904,83","304291,64999999997",",000000",",000000","600,000000","3158,820000"
"2010","MG","Não-Metálicos","Potássio",",000000",",000000000000000","t","K2O","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Quartzo (Cristal) e outros Piezelétricos","56,690000",",000000000000000","-","","56,689999999999998","76155",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Cobre","382969,290000","539,000000000000000","t","Cu","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Chumbo","2299496,000000","24047,320000000000000","t","Pb","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Rochas Ornamentais","817331,030000",",000000000000000","-","","687301,41999999981","121397071,14","4136,000000","90764,800000","96177,480000","14401743,870000"
"2010","MG","Não-Metálicos","Talco e outras Cargas Minerais","771879,370000",",000000000000000","-","","76623,959999999992","2083653,3",",000000",",000000","48977,170000","2305589,610000"
"2010","MG","Metálicos","Columbita-Tantalita","569933,000000","170,195170000000000","t","Ta2O5","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Lítio","35927,960000","502,530000000000000","t","Li2O","1448,96","628456,69999999995",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Grafita","1204047,090000","83852,400000000000000","t","","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Bário","5619362,000000","1049314,240000000000000","t","BaSO4","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Gemas e Diamantes","Gemas","808000,580000","490,516960000000000","kg","","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Columbita-Tantalita","31848,000000","2,866300000000000","t","Nb2O5","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Prata","46221073,000000","7199,754760000000000","kg","Ag","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Feldspato, Leucita e Nefelina-Sienito","29918,900000",",380000000000000","-","","19689,689999999999","1188706,2100000002",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Ferro","359154146,180000","199603957,650000000000000","t","Fe","17749753,359999999","601190647,27999997",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Caulim","20413,560000",",000000000000000","-","","14890,559999999999","711970,09999999998",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Manganês","991605,550000","190404,190000000000000","t","Mn","222455,00999999998","5869319,1099999994",",000000",",000000","27333,840000","2400885,700000"
"2010","MG","Metálicos","Estanho","571531,000000","316957,590000000000000","kg","Sn","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Cromo","175,000000","35,000000000000000","t","Cr2O3","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Fosfato","22237453,650000","2036796,440000000000000","t","P2O5","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Alumínio (Bauxita)","6501042,320000","2361847,900000000000000","t","Al2O3","1103053,6899999999","18365153,039999995",",000000",",000000","671518,000000","12586263,010000"
"2010","MG","Metálicos","Zircônio",",000000",",000000000000000","t","ZrSiO4","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Cianita e outros minerais refratários","115,000000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
